Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
```tsv
Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
Rac1	PLC-¦Â2	Homo sapiens	Kd=5.3 ?M	surface plasmon resonance	
Rac2	PLC-¦Â2	Homo sapiens	Kd=7.0 ?M	surface plasmon resonance	
Rac3	PLC-¦Â2	Homo sapiens	Kd=9.3 ?M	surface plasmon resonance	
Rac1	PLC-¦Â3	Homo sapiens	Kd=30 ?M	surface plasmon resonance	
Rac2	PLC-¦Â3	Homo sapiens	Kd=58 ?M	surface plasmon resonance	
Rac3	PLC-¦Â3	Homo sapiens	Kd=88 ?M	surface plasmon resonance	
Rac1	PLC-¦Â2 PH domain	Homo sapiens	Kd=13 ?M	surface plasmon resonance	
Rac2	PLC-¦Â2 PH domain	Homo sapiens	Kd=17 ?M	surface plasmon resonance	
Rac3	PLC-¦Â2 PH domain	Homo sapiens	Kd=14 ?M	surface plasmon resonance	
Rac1	PLC-¦Â2 PH-C2	Homo sapiens	Kd=11 ?M	surface plasmon resonance	
Rac2	PLC-¦Â2 PH-C2	Homo sapiens	Kd=11 ?M	surface plasmon resonance	
Rac3	PLC-¦Â2 PH-C2	Homo sapiens	Kd=18 ?M	surface plasmon resonance	
G¦Áq	PLC-¦Â1	Homo sapiens		surface plasmon resonance	
G¦Áq	PLC-¦Â2	Homo sapiens		surface plasmon resonance	
G¦Áq	PLC-¦Â3	Homo sapiens		surface plasmon resonance	
PtdIns(4,5)P2	PLC-¦Â2 PH domain	Homo sapiens	Kd=15 ?M	surface plasmon resonance	

```
