Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	Corresponding complex PDBID
Ligand name	Receptor protein name	Receptor protein organism source	Affinity value	Wet lab method for affinity measurement	corresponding complex PDBID
chestnut bellied scaled quail ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=5.9e11 M??	enzyme activity assay	
chestnut bellied scaled quail ovomucoid third domain	elastase I			Ka=6.9e7 M??	enzyme activity assay	
chestnut bellied scaled quail ovomucoid third domain	subtilisin Carlsberg			Ka=1.3e6 M??	enzyme activity assay	
turkey ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=3.2e11 M??	enzyme activity assay	
turkey ovomucoid third domain	elastase I			Ka=5.7e10 M??	enzyme activity assay	
turkey ovomucoid third domain	subtilisin Carlsberg			Ka=3.4e10 M??	enzyme activity assay	
silver pheasant ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.8e11 M??	enzyme activity assay	
silver pheasant ovomucoid third domain	elastase I			Ka=1.2e10 M??	enzyme activity assay	
silver pheasant ovomucoid third domain	subtilisin Carlsberg			Ka=6.4e10 M??	enzyme activity assay	
Indian peafowl ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.3e10 M??	enzyme activity assay	
Indian peafowl ovomucoid third domain	elastase I			Ka=1.3e9 M??	enzyme activity assay	
Indian peafowl ovomucoid third domain	subtilisin Carlsberg			Ka=2.7e7 M??	enzyme activity assay	
guinea fowl ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=4.0e8 M??	enzyme activity assay	
guinea fowl ovomucoid third domain	elastase I			Ka=1.4e8 M??	enzyme activity assay	
guinea fowl ovomucoid third domain	subtilisin Carlsberg			Ka=4.2e8 M??	enzyme activity assay	
Gambel's quail ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=7.2e10 M??	enzyme activity assay	
Gambel's quail ovomucoid third domain	elastase I			Ka=1.1e10 M??	enzyme activity assay	
Gambel's quail ovomucoid third domain	subtilisin Carlsberg			Ka=3.7e9 M??	enzyme activity assay	
mountain quail ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=5.2e10 M??	enzyme activity assay	
mountain quail ovomucoid third domain	elastase I			Ka=9.5e10 M??	enzyme activity assay	
mountain quail ovomucoid third domain	subtilisin Carlsberg			Ka=3.6e9 M??	enzyme activity assay	
chukar ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.7e11 M??	enzyme activity assay	
chukar ovomucoid third domain	elastase I			Ka=3.9e10 M??	enzyme activity assay	
chukar ovomucoid third domain	subtilisin Carlsberg			Ka=1.8e10 M??	enzyme activity assay	
blue scaled quail ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=4.0e10 M??	enzyme activity assay	
blue scaled quail ovomucoid third domain	elastase I			Ka=3.7e7 M??	enzyme activity assay	
blue scaled quail ovomucoid third domain	subtilisin Carlsberg			Ka=2.0e6 M??	enzyme activity assay	
golden pheasant ovomucoid third domain	bovine ¦Á-chymotrypsin	Bos taurus	Ka=1.2e11 M??	enzyme activity assay	
golden pheasant ovomucoid third domain	elastase I			Ka=1.2e10 M??	enzyme activity assay	
golden pheasant ovomucoid third domain	subtilisin Carlsberg			Ka=1.9e10 M??	enzyme activity assay	
